name,diameter,velocity,distance,hazardous,Risk_Score
453309 2008 VQ4,744.8005330139,20959.8207659374,39565961.76020504,0,15610885.678345984
2015 AE45,51.7654482198,24703.7439103688,8526777.284930034,0,1278800.3762273958
2015 LJ,68.2401509401,25881.1975863978,64975962.73683525,0,1766136.8298063376
2017 BQ93,450.8582061718,86987.5810714278,15384366.923158605,1,39219064.76108797
2017 XY61,34.201092472,29406.9410907668,27322012.49004402,0,1005749.5115639718
2018 KR,31.3357417074,20200.2112060543,33343158.085945595,0,632988.6007878446
2018 VB10,41.1187571041,22559.4578038017,39470300.39992781,0,927616.8658347153
2019 AE3,19.6806745089,28826.1083810302,24802973.98950403,0,567317.2564053298
2019 YO4,248.908643942,85244.1657476544,73118609.64227916,0,21218009.700215742
2020 BT3,45.924028604,37403.1021683567,16841972.094007462,0,1717701.1338579475
2021 AP1,108.1533506775,34851.0724984026,10795283.918425497,0,3769260.265406713
2021 AX6,24.8908643942,70622.7738645496,55685829.04966392,0,1757861.887404756
2021 NZ,103.2856480504,93084.7113659066,69821079.92299,0,9614314.737012098
2021 TU1,184.5185269026,48244.0586963346,13984589.45222909,0,8901922.64245023
2022 OS,263.0510131126,87147.3808249178,67297840.3701853,0,22924206.816104196
2023 BN2,285.7853609639,55944.7666063312,45748404.34801252,0,15988195.318631502
2022 YR1,36.8162863142,21724.6641790206,6245509.728726767,0,799821.4564946671
2022 YM6,52.9712204056,43096.3124672974,11493547.95370301,0,2282864.266373818
2022 YS6,25.2371308101,34989.7629704627,1786696.384631999,0,883041.2250999603
2023 CA4,224.9261651032,40730.6576552458,18792056.53461244,0,9161390.628525734
2023 YO1,38.7293295383,25947.1568898467,27027951.307977308,0,1004915.9897688442
2025 DQ,6.1381850734,19399.3537275792,27802876.652058028,0,119076.82348423329
847344 2023 CA4,224.9261651032,40730.6576706314,18792056.53461244,0,9161390.631986357
2015 RD2,835.6799428155,29957.21682138,25962468.947376966,0,25034645.24020237
2018 PN22,18.7948982439,13617.0861989297,11468354.984244809,0,255931.74948729874
2019 AY3,102.3387195373,70057.2632449975,5225075.535362936,0,7169570.6147805955
2022 AO2,86.3057992509,63246.8210902996,32029066.43028682,0,5458567.444276985
2022 XD2,63.6854143519,10435.4352248496,15255399.61669712,0,664585.0162369595
2023 AR1,345.1755128432,57482.02791909,57688690.27242407,0,19841388.46623903
2022 XW1,54.9591463913,21752.0017770533,13627638.507437551,0,1195471.4499688903
2022 YS4,42.46586539,24481.6456214343,2300587.388084203,0,1039634.2674855118
2025 AK3,34.676877062,32246.5722108306,13937825.277745388,0,1118210.4202258782
2007 BT7,567.5968528656,65902.1605926707,41772395.465265445,0,37405858.94944325
2014 QV296,104.7224945415,32046.2078220756,70519325.39317185,0,3355958.8237230866
2014 TC,34.201092472,31395.5033311844,52439994.93880385,0,1073760.5126348217
2016 AJ165,49.435619262,45516.0049503304,39806600.1067552,0,2250111.891051841
2018 BP1,71.4562101727,64266.831983133,40350515.941268735,0,4592264.25332035
2018 XE4,31.1917670523,29549.0686341536,8837356.181174712,0,921687.6654489436
2019 WC5,190.5636132329,51996.5622516625,9759459.30563308,0,9908652.778366221
2019 YV1,53.4613570733,68794.7877903362,73895132.42233533,0,3677862.7148410627
2020 JN2,103.2856480504,75427.2519169788,50288000.76630409,0,7790552.594905931
2021 EB3,54.706632051,39089.1804601579,8860641.89746871,0,2138437.412608997
2022 PF,25.2371308101,22331.5457416485,69782983.41917452,0,563584.1410737148
2022 WH3,82.0427064882,13426.1432321919,18948126.367503528,0,1101517.128467253
2022 WT10,489.8239078031,60476.9261454007,48746363.584637344,0,29623044.296459638
2022 YL4,17.6213825176,7038.0995674044,1982840.150863586,0,124021.04467418802
2023 AE,36.6471308439,49113.1844994445,1663888.949985209,0,1799857.298511744
2024 HX1,28.7104486255,74516.5848376973,69681182.27807653,0,2139404.5807304205
2025 XZ3,10.0934579665,54103.8400404476,29730939.17917477,0,546094.8352744975
2017 HJ,18.5370225725,54786.5188906392,50989788.02589734,0,1015578.9373444765
2021 AT2,20.8948846888,55475.8017445346,64867216.33510507,0,1159160.4804707803
2021 NF,66.6868154623,40755.2043710563,6837263.072521683,0,2717834.793020954
2021 RG6,9.7732718421,19914.6616338124,27608609.38166857,0,194631.4017906879
2021 SV1,30.0635303831,36766.0557485744,40644068.0866632,0,1105317.4340640148
2022 MF2,35.3215683399,40594.1391513958,45213306.11115252,0,1433848.6602354369
2022 LG5,353.2156833994,51559.777578546,16806632.364780556,0,18211722.073327187
2022 WV7,149.9822894641,20743.5661765991,21835783.23495231,0,3111167.5468164003
2022 YT3,40.9298335762,23178.2187890493,4257509.513493058,0,948680.6376285397
2022 YU3,39.9981568182,25681.6311025456,3768530.340221965,0,1027217.9081867816
2022 YY6,34.9977382549,72970.3839251452,813642.409780532,0,2553798.3969717943
2022 YP5,22.2864029626,17256.24188089,2988369.59428379,0,384579.5601776091
2022 YZ3,55.212826285,42121.2266072953,9062157.887769654,0,2325631.967579715
2023 AL2,38.5513844328,47303.5652348533,1688067.15221184,0,1823617.9284108626
494690 2004 JQ1,567.5968528656,122351.5626754885,73620334.74855149,1,69446361.91779548
2008 FX6,59.4346868419,47512.3233514327,53303925.1213785,0,2823880.0595234954
2011 WR41,56.239309364,32215.7805473146,6064355.265154931,0,1811793.248603159
2012 BE27,130.0289270043,37147.1356407452,2147031.083645068,0,4830202.188649287
2012 BA35,105.6914798531,64307.149601994,74055040.09882253,0,6796717.8065694375
2015 AO43,29.7879062798,30460.146998428,12357600.133340636,0,907344.0040581046
2022 DA3,15.9970528196,27780.708636567,56575835.51727997,0,444409.46342508023
2022 YN7,465.6289548051,62080.0171585906,27359003.660077427,0,28906253.503837217
2022 YJ4,23.9905375262,20083.7880467987,2028629.111792547,0,481820.87080497126
2023 AU,23.4444462214,27231.3143831763,3653483.22028249,0,638423.0855944131
2024 RN15,49.8930414151,54782.6539053748,40940580.53454837,0,2733273.2201299546
2024 VD,30.6224531427,34618.3855440174,59740929.57829065,0,1060099.8891975959
2002 AJ69,326.6178974458,54680.7881026404,64699620.45008388,0,17859724.04076372
2010 UY7,11.8587790858,68001.4130578852,70761648.3314165,0,806413.7349756961
2015 MQ116,118.5877908577,28004.666622869,23867035.246199563,0,3321011.548512401
2020 BT2,109.6579136575,85215.2438947838,63953666.16966821,0,9344525.857317006
2020 CN,19.6806745089,106028.0636845068,74174911.15167804,0,2086703.8101836988
2020 EO,39.2681081809,29352.5716516506,25671748.0015114,0,1152619.9590046343
2021 AM2,21.7791024963,53592.8890456998,67607040.72205794,0,1167205.0235991294
2022 LF,140.6176963133,13541.0115639644,18725640.80993086,0,1904105.8518764293
2022 YV5,52.4855773378,38322.0584944769,8013363.827798443,0,2011355.3648555628
2022 YN1,83.5679942816,19848.4363951019,7027004.005037909,0,1658694.019164577
2023 AV1,26.4265201422,26600.200418612,1979723.772915107,0,702950.7321490069
2022 YC3,158.5039095776,38654.7515183858,30273073.48257405,0,6126929.2394148195
2022 YQ6,67.6145214758,17899.6201794231,12712432.188861284,0,1210274.2530302661
2023 AL,45.0858206172,22084.8108210537,10335165.405591393,0,995711.8190428246
2023 OM,45.502994579,34810.1376474545,39869627.09560618,0,1583965.5046663661
2023 XO15,40.7417780731,31404.2411715681,27770842.43736664,0,1279464.6243661374
2025 OC338,18.7948982439,33688.8989554279,10604035.907047316,0,633179.4278162965
369454 2010 NZ1,903.7326625794,108423.8669729268,67219618.24696524,0,97986189.9865978
2003 MK4,399.981568182,52248.2024428481,16677946.242475525,1,20898317.947780985
2006 HJ18,250.057554041,39266.9537788062,38282890.59919117,0,9818998.416569281
2008 BX2,113.2504610618,67880.954876558,44202801.59608824,0,7687549.437085434
2013 QM10,75.1692087496,59614.6252325213,70000648.6790594,0,4481184.208632565
2013 YL2,128.2448632429,68045.6697890692,15016064.47703168,0,8726507.616370713
2016 AE166,307.6379996423,70393.7632178891,13890074.206113292,0,21655796.50364512
2019 AR3,194.1064553155,94878.7438497952,26515188.721258517,0,18416576.65347104
2019 AJ8,133.6718561883,48627.9091689858,33327732.256701183,0,6500182.881174386
2022 BB3,154.1842379994,36339.7769549194,54475019.0154638,0,5603020.818862405
2022 OF,32.5117224521,49551.4782747594,20369491.888178702,0,1611003.9087602408
2022 YD6,86.70416872,34425.3913626959,15412184.16837192,0,2984824.9409632157
2023 AF,438.5710683707,68213.5378772861,62837703.50381507,0,29916484.184186578
2023 AG1,174.5982871157,46553.0370131045,34557638.66844382,0,8128080.522521828
2008 FC,65.1688382168,57279.8970318784,54312472.9860619,0,3732864.3427454457
2012 KT12,25.9441817907,27941.4961817082,69590227.64078417,0,724919.2564423875
2013 BO27,89.5447191727,50438.1166656336,11290082.015005764,0,4516466.99242404
2015 FG36,102.3387195373,22338.0943071893,44019838.22499194,0,2286051.9683012036
2019 OZ1,239.9053752622,66249.2178272974,50029291.90960494,0,15893543.463685013
2020 DJ,34.201092472,34030.2556866513,34403438.30029498,0,1163871.9215849647
2020 HX3,21.5794304844,40694.3982716717,68507447.56271169,0,878161.938608027
2020 SJ2,27.1668934089,72409.0033103198,60102808.24700041,0,1967127.674776145
2022 HN1,47.6474846455,26958.4666681342,56845252.69423223,0,1284503.1266361477
2023 AS,18.8816515525,22723.4862164726,580108.316478802,0,429056.9487974722
2023 AP,123.6061213242,71777.3654671963,1871195.933673001,0,8872121.74426971
2023 BO5,41.6907759952,7952.2420402293,9366042.548608,0,331535.14155881194
2023 BA6,110.1640715893,46609.1479114722,15402371.565365436,0,5134653.507235696
2023 KM5,369.8622257068,50892.6358987441,52451085.40681588,1,18823263.585595284
2023 OD1,63.6854143519,27448.2940263936,47801708.58127648,0,1748055.978323658
2007 EF88,114.8259319105,36786.239694167,28818137.810916405,0,4224014.254365752
